title,matched_categories_ml,matched_scores_ml,source
경남도 '농생명·바이오산업 발전 실무협의회' 개최,,,industry_risk
‘포항 그린백신실증지원센터’ 농식품부 산업 거점 지정,,,industry_risk
"포항시, 그린바이오 유망 벤처기업 유치에 '탄력'",,,industry_risk
"포항시, 농식품부 그린바이오 산업 거점 지정",,,industry_risk
"한신대, '태양광' 활용 그린 캠퍼스 구축",지역사회 ESG 교육 프로그램,0.414,industry_risk
"한신대, 태양광 활용 '탄소중립 그린 캠퍼스' 구축",지역사회 ESG 교육 프로그램,0.414,industry_risk
"한신대, 태양광 활용해 '그린 캠퍼스' 구축",지역사회 ESG 교육 프로그램,0.418,industry_risk
한신대 그린 캠퍼스로 거듭나기 …태양광 설비 연간 발전량 총 전기료 ...,"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램","0.417,0.404",industry_risk
"한신대, '태양광' 활용 그린 캠퍼스 구축…총 193kW 규모",지역사회 ESG 교육 프로그램,0.412,industry_risk
"익산시, 그린바이오 산업과 익산시 정책 연계 특강",,,industry_risk
"익산시, ‘10조 그린바이오’ 시장 겨냥... 범시민 공감대",,,industry_risk
"익산시, '10조 그린바이오 산업' 도시 도약… 범시민 공감대 조성",,,industry_risk
"익산시, '10조 그린바이오' 시장 겨냥 범시민 공감대..정명채 박사 초청...",,,industry_risk
5년내 '그린바이오' 산업 10조원 규모로 키운다,,,industry_risk
"농식품부 ""그린바이오 산업 10조원 규모로 확대… 포항에 그린바이오 벤...",,,industry_risk
그린바이오 산업 2027년까지 10조 규모 육성…유니콘 기업 15개 목표,,,industry_risk
농업 미래성장 '그린바이오' 시장 10조 확대·수출 5조 달성,,,industry_risk
농업 생산성 높이는 ‘그린바이오’ 산업 10조 원 규모로 키운다,,,industry_risk
"울산 그린모빌리티 관련업체 43% ""미래차 변화 준비 안됐다""",,,industry_risk
"익산시, ‘10조 규모 그린바이오’ 시장 겨냥",,,industry_risk
K-농업의 새로운 가치 사슬 '그린바이오' 10조 산업 이끈다,,,industry_risk
"전북, 그린바이오산업 연계 산업 발전 모색",,,industry_risk
"증평군 ""그린바이오 띄우고 시스템반도체 후공정 키운다""",,,industry_risk
증평군 '그린바이오·시스템반도체 산업' 집중 육성,,,industry_risk
정부 “2027년까지 그린바이오 10조 규모 육성”,,,industry_risk
"""이젠 그린바이오 산업"" 2027년까지 10조원 규모로 키운다",,,industry_risk
"농식품부, 그린바이오 산업 키운다…2027년 국내 시장 규모 10조원 목표",,,industry_risk
[주목] '그린바이오' 농식품산업의 새로운 성장동력으로 떠오르다,,,industry_risk
국내 그린바이오시장 10조 규모로 키운다,,,industry_risk
"정헌율 익산시장, 그린바이오와 푸드테크 육성방안 전략 마련",,,industry_risk
"익산시, 지역 인프라 활용 정부 신산업 육성정책 선제 대응",,,industry_risk
"울산시교육청, 그린모빌리티 2차전지 기술 인재 양성",캠퍼스 차량,0.475,industry_risk
"국립공주대, 2023학년도 1학기 신임교수 천안캠퍼스 방문",,,industry_risk
[경남일보-진주바이오산업진흥원 공동기획] 서부경남 미래먹거리 '그린...,,,industry_risk
그린바이오 산업 미래 성장산업으로 적극 육성,,,industry_risk
"경남도, 그린바이오 산업 육성·발전 업무협약 체결",,,industry_risk
경남 서부 '그린바이오' 산업 육성거점 마련…14개 기관 협약,,,industry_risk
경남 '그린바이오 벤처 캠퍼스 건립'에 힘 모은다,지역사회 ESG 파트너십,0.44,industry_risk
그린바이오·스포츠 집중 육성… 지역경제 선순환 기틀 다진다 [지방기...,,,industry_risk
